match_id,innings,over_no,ball,batter,bowler,runs_batter,bowler_wicket,wicket_kind,player_out,fielders,season
1422119,1,0,1,"V Kohli","DL Chahar",1,0,,,,2024
1422119,1,0,2,"F du Plessis","DL Chahar",0,0,,,,2024
1422119,1,0,3,"F du Plessis","DL Chahar",0,0,,,,2024
1422119,1,0,4,"F du Plessis","DL Chahar",0,0,,,,2024
1422119,1,0,5,"F du Plessis","DL Chahar",4,0,,,,2024
1422119,1,0,6,"F du Plessis","DL Chahar",1,0,,,,2024
1422119,1,1,1,"F du Plessis","TU Deshpande",4,0,,,,2024
1422119,1,1,2,"F du Plessis","TU Deshpande",0,0,,,,2024
1422119,1,1,3,"F du Plessis","TU Deshpande",4,0,,,,2024
1422119,1,1,4,"F du Plessis","TU Deshpande",0,0,,,,2024
1422119,1,1,5,"F du Plessis","TU Deshpande",0,0,,,,2024
1422119,1,1,6,"F du Plessis","TU Deshpande",1,0,,,,2024
1422119,1,2,1,"F du Plessis","DL Chahar",4,0,,,,2024
1422119,1,2,2,"F du Plessis","DL Chahar",0,0,,,,2024
1422119,1,2,3,"F du Plessis","DL Chahar",4,0,,,,2024
1422119,1,2,4,"F du Plessis","DL Chahar",4,0,,,,2024
1422119,1,2,5,"F du Plessis","DL Chahar",0,0,,,,2024
1422119,1,2,6,"F du Plessis","DL Chahar",4,0,,,,2024
1422119,1,3,1,"V Kohli","M Theekshana",0,0,,,,2024
1422119,1,3,2,"V Kohli","M Theekshana",1,0,,,,2024
1422119,1,3,3,"F du Plessis","M Theekshana",0,0,,,,2024
1422119,1,3,4,"F du Plessis","M Theekshana",0,0,,,,2024
1422119,1,3,5,"V Kohli","M Theekshana",1,0,,,,2024
1422119,1,3,6,"F du Plessis","M Theekshana",1,0,,,,2024
1422119,1,4,1,"F du Plessis","Mustafizur Rahman",0,0,,,,2024
1422119,1,4,2,"F du Plessis","Mustafizur Rahman",4,0,,,,2024
1422119,1,4,3,"F du Plessis","Mustafizur Rahman",0,1,caught,"F du Plessis","R Ravindra",2024
1422119,1,4,4,"RM Patidar","Mustafizur Rahman",0,0,,,,2024
1422119,1,4,5,"RM Patidar","Mustafizur Rahman",0,0,,,,2024
1422119,1,4,6,"RM Patidar","Mustafizur Rahman",0,1,caught,"RM Patidar","MS Dhoni",2024
1422119,1,5,1,"V Kohli","DL Chahar",0,0,,,,2024
1422119,1,5,2,"V Kohli","DL Chahar",1,0,,,,2024
1422119,1,5,3,"GJ Maxwell","DL Chahar",0,1,caught,"GJ Maxwell","MS Dhoni",2024
1422119,1,5,4,"C Green","DL Chahar",0,0,,,,2024
1422119,1,5,5,"C Green","DL Chahar",0,0,,,,2024
1422119,1,5,6,"C Green","DL Chahar",0,0,,,,2024
1422119,1,6,1,"V Kohli","RA Jadeja",1,0,,,,2024
1422119,1,6,2,"C Green","RA Jadeja",2,0,,,,2024
1422119,1,6,3,"C Green","RA Jadeja",0,0,,,,2024
1422119,1,6,4,"C Green","RA Jadeja",1,0,,,,2024
1422119,1,6,5,"V Kohli","RA Jadeja",1,0,,,,2024
1422119,1,6,6,"C Green","RA Jadeja",1,0,,,,2024
1422119,1,7,1,"C Green","M Theekshana",0,0,,,,2024
1422119,1,7,2,"C Green","M Theekshana",1,0,,,,2024
1422119,1,7,3,"V Kohli","M Theekshana",2,0,,,,2024
1422119,1,7,4,"V Kohli","M Theekshana",1,0,,,,2024
1422119,1,7,5,"C Green","M Theekshana",2,0,,,,2024
1422119,1,7,6,"C Green","M Theekshana",1,0,,,,2024
1422119,1,8,1,"C Green","RA Jadeja",1,0,,,,2024
1422119,1,8,2,"V Kohli","RA Jadeja",1,0,,,,2024
1422119,1,8,3,"C Green","RA Jadeja",0,0,,,,2024
1422119,1,8,4,"C Green","RA Jadeja",4,0,,,,2024
1422119,1,8,5,"C Green","RA Jadeja",1,0,,,,2024
1422119,1,8,6,"V Kohli","RA Jadeja",1,0,,,,2024
1422119,1,9,1,"V Kohli","M Theekshana",2,0,,,,2024
1422119,1,9,2,"V Kohli","M Theekshana",6,0,,,,2024
1422119,1,9,3,"V Kohli","M Theekshana",1,0,,,,2024
1422119,1,9,4,"C Green","M Theekshana",1,0,,,,2024
1422119,1,9,5,"V Kohli","M Theekshana",1,0,,,,2024
1422119,1,9,6,"C Green","M Theekshana",1,0,,,,2024
1422119,1,10,1,"C Green","RA Jadeja",0,0,,,,2024
1422119,1,10,2,"C Green","RA Jadeja",0,0,,,,2024
1422119,1,10,3,"C Green","RA Jadeja",1,0,,,,2024
1422119,1,10,4,"V Kohli","RA Jadeja",0,0,,,,2024
1422119,1,10,5,"V Kohli","RA Jadeja",0,0,,,,2024
1422119,1,10,6,"V Kohli","RA Jadeja",0,0,,,,2024
1422119,1,11,1,"C Green","Mustafizur Rahman",1,0,,,,2024
1422119,1,11,2,"V Kohli","Mustafizur Rahman",0,1,caught,"V Kohli","R Ravindra",2024
1422119,1,11,3,"Anuj Rawat","Mustafizur Rahman",1,0,,,,2024
1422119,1,11,4,"C Green","Mustafizur Rahman",0,1,bowled,"C Green",,2024
1422119,1,11,5,"KD Karthik","Mustafizur Rahman",0,0,,,,2024
1422119,1,11,6,"KD Karthik","Mustafizur Rahman",1,0,,,,2024
1422119,1,12,1,"KD Karthik","TU Deshpande",0,0,,,,2024
1422119,1,12,2,"KD Karthik","TU Deshpande",1,0,,,,2024
1422119,1,12,3,"Anuj Rawat","TU Deshpande",1,0,,,,2024
1422119,1,12,4,"KD Karthik","TU Deshpande",0,0,,,,2024
1422119,1,12,5,"KD Karthik","TU Deshpande",1,0,,,,2024
1422119,1,12,6,"Anuj Rawat","TU Deshpande",1,0,,,,2024
1422119,1,13,1,"Anuj Rawat","RA Jadeja",1,0,,,,2024
1422119,1,13,2,"KD Karthik","RA Jadeja",1,0,,,,2024
1422119,1,13,3,"Anuj Rawat","RA Jadeja",2,0,,,,2024
1422119,1,13,4,"Anuj Rawat","RA Jadeja",1,0,,,,2024
1422119,1,13,5,"KD Karthik","RA Jadeja",0,0,,,,2024
1422119,1,13,6,"Anuj Rawat","RA Jadeja",1,0,,,,2024
1422119,1,14,1,"Anuj Rawat","DL Chahar",4,0,,,,2024
1422119,1,14,2,"Anuj Rawat","DL Chahar",1,0,,,,2024
1422119,1,14,3,"KD Karthik","DL Chahar",1,0,,,,2024
1422119,1,14,4,"Anuj Rawat","DL Chahar",1,0,,,,2024
1422119,1,14,5,"KD Karthik","DL Chahar",1,0,,,,2024
1422119,1,14,6,"Anuj Rawat","DL Chahar",4,0,,,,2024
1422119,1,15,1,"KD Karthik","M Theekshana",4,0,,,,2024
1422119,1,15,2,"KD Karthik","M Theekshana",1,0,,,,2024
1422119,1,15,3,"Anuj Rawat","M Theekshana",1,0,,,,2024
1422119,1,15,4,"KD Karthik","M Theekshana",1,0,,,,2024
1422119,1,15,5,"Anuj Rawat","M Theekshana",1,0,,,,2024
1422119,1,15,6,"KD Karthik","M Theekshana",6,0,,,,2024
1422119,1,16,1,"Anuj Rawat","Mustafizur Rahman",0,0,,,,2024
1422119,1,16,2,"Anuj Rawat","Mustafizur Rahman",4,0,,,,2024
1422119,1,16,3,"Anuj Rawat","Mustafizur Rahman",0,0,,,,2024
1422119,1,16,4,"Anuj Rawat","Mustafizur Rahman",1,0,,,,2024
1422119,1,16,5,"KD Karthik","Mustafizur Rahman",1,0,,,,2024
