match_id,toss_winner,toss_loser,match_won_by,player_of_match,season
1422119,Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,Mustafizur Rahman,2024
1422120,Punjab Kings,Delhi Capitals,Punjab Kings,SM Curran,2024
1422121,Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,AD Russell,2024
1422122,Rajasthan Royals,Lucknow Super Giants,Rajasthan Royals,SV Samson,2024
1422123,Mumbai Indians,Gujarat Titans,Gujarat Titans,B Sai Sudharsan,2024
1422124,Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,V Kohli,2024
1422125,Gujarat Titans,Chennai Super Kings,Chennai Super Kings,S Dube,2024
1422126,Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,Abhishek Sharma,2024
1422127,Delhi Capitals,Rajasthan Royals,Rajasthan Royals,R Parag,2024
1422128,Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,SP Narine,2024
1422129,Lucknow Super Giants,Punjab Kings,Lucknow Super Giants,MP Yadav,2024
1422130,Sunrisers Hyderabad,Gujarat Titans,Gujarat Titans,MM Sharma,2024
1422131,Delhi Capitals,Chennai Super Kings,Delhi Capitals,KK Ahmed,2024
1422132,Rajasthan Royals,Mumbai Indians,Rajasthan Royals,TA Boult,2024
1422133,Royal Challengers Bengaluru,Lucknow Super Giants,Lucknow Super Giants,MP Yadav,2024
1422134,Kolkata Knight Riders,Delhi Capitals,Kolkata Knight Riders,SP Narine,2024
1422135,Punjab Kings,Gujarat Titans,Punjab Kings,Shashank Singh,2024
1422136,Sunrisers Hyderabad,Chennai Super Kings,Sunrisers Hyderabad,Abhishek Sharma,2024
1422137,Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,JC Buttler,2024
1422138,Delhi Capitals,Mumbai Indians,Mumbai Indians,R Shepherd,2024
1422139,Lucknow Super Giants,Gujarat Titans,Lucknow Super Giants,Yash Thakur,2024
1426260,Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,RA Jadeja,2024
1426261,Punjab Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,Nithish Kumar Reddy,2024
1426262,Gujarat Titans,Rajasthan Royals,Gujarat Titans,Rashid Khan,2024
1426263,Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,JJ Bumrah,2024
1426264,Lucknow Super Giants,Delhi Capitals,Delhi Capitals,Kuldeep Yadav,2024
1426265,Rajasthan Royals,Punjab Kings,Rajasthan Royals,SO Hetmyer,2024
1426266,Kolkata Knight Riders,Lucknow Super Giants,Kolkata Knight Riders,PD Salt,2024
1426267,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,M Pathirana,2024
1426268,Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,TM Head,2024
1426269,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,JC Buttler,2024
1426270,Delhi Capitals,Gujarat Titans,Delhi Capitals,RR Pant,2024
