fielders,catches
"JM Sharma",19
"SO Hetmyer",13
"Naman Dhir",12
"RD Rickelton",11
"T Stubbs",10
"YBK Jaiswal",10
"Tilak Varma",9
"RK Singh",9
"PD Salt",9
"JP Inglis",9
"Shubman Gill",8
"Ishan Kishan",8
"Abhishek Sharma",8
"R Parag",8
"Priyansh Arya",8
"JC Buttler",8
"N Pooran",8
"TH David",7
"B Sai Sudharsan",7
"MJ Santner",7
"A Manohar",7
"H Klaasen",7
"MA Starc",7
"SS Iyer",7
"Shashank Singh",7
"Dhruv Jurel",7
"AK Markram",7
"D Brevis",6
"Rashid Khan",6
"KH Pandya",6
"RA Jadeja",6
"WG Jacks",6
"Harshit Rana",6
"Nithish Kumar Reddy",6
"Aniket Verma",6
"M Jansen",6
"SA Yadav",6
"N Wadhera",6
"Mohammed Siraj",5
"Ramandeep Singh",5
"GJ Maxwell",5
"AM Rahane",5
"M Shahrukh Khan",5
"PJ Cummins",5
"XC Bartlett",5
"Ravi Bishnoi",5
"RR Pant",5
"MS Dhoni",5
"B Kumar",5
"DA Miller",5
