batter,match_id,runs_in_match
"Abhishek Sharma",1473464,141
"RR Pant",1473507,118
"MR Marsh",1473502,117
"KL Rahul",1473498,112
"B Sai Sudharsan",1473498,108
"Ishan Kishan",1473439,106
"H Klaasen",1473505,105
"Priyansh Arya",1473459,103
"V Suryavanshi",1473484,101
"Q de Kock",1473443,97
"JC Buttler",1473472,97
"SS Iyer",1473442,97
"R Parag",1473490,95
"Ishan Kishan",1473503,94
"A Mhatre",1473489,94
"Shubman Gill",1473498,93
"KL Rahul",1473461,93
"P Simran Singh",1473491,91
"Shubman Gill",1473476,90
"KK Nair",1473466,89
"N Pooran",1473456,87
"SS Iyer",1473510,87
"SM Curran",1473486,86
"JM Sharma",1473507,85
"Shubman Gill",1473484,84
"P Simran Singh",1473481,83
"SS Iyer",1473464,82
"B Sai Sudharsan",1473460,82
"MR Marsh",1473456,81
"RG Sharma",1473509,81
"N Rana",1473448,81
"B Sai Sudharsan",1473509,80
"RA Jadeja",1473489,77
"KL Rahul",1473454,77
"Shubman Gill",1473488,76
"TM Head",1473505,76
"RG Sharma",1473475,76
"YBK Jaiswal",1473465,75
"N Pooran",1473441,75
"A Badoni",1473491,74
"YBK Jaiswal",1473473,74
"Abhishek Sharma",1473488,74
"B Sai Sudharsan",1473442,74
"Aniket Verma",1473447,74
"SA Yadav",1473501,73
"JC Buttler",1473451,73
"JP Inglis",1473506,73
"V Kohli",1473474,73
"KH Pandya",1473483,72
"SS Iyer",1473486,72
